battery_id,cycle_number,Capacity,ambient_temperature,datetime,SoH,RUL,degradation_state,Re,Rct,peak_voltage,min_voltage,voltage_range,avg_current,avg_temp,temp_rise,cycle_duration,delta_capacity,coulombic_efficiency
B0005,0,1.8564874208181572,24,2008-04-02 15:25:41,92.82437104090786,124,0,0.0446687003661609,0.0694562730453699,4.191491807505295,2.612467347907089,1.5790244595982057,1.818711710270297,32.572328114029,14.656187907465561,3690.234,0.0,
B0005,1,1.846327249719927,24,2008-04-02 19:43:48,92.31636248599635,123,0,0.0466870016248693,0.0762747409853058,4.189773213846608,2.587208728940726,1.6025644849058818,1.8176438989718113,32.72523522519307,14.347449803191044,3672.344,-0.010160171098230197,
B0005,2,1.835349194223408,24,2008-04-03 00:01:06,91.7674597111704,122,0,0.044843430573346,0.0679720560130687,4.188186735991303,2.65191689384378,1.5362698421475236,1.8165423469233573,32.64286193755933,14.084530525863013,3651.641,-0.01097805549651909,
B0005,3,1.8352625275821128,24,2008-04-03 04:16:37,91.76312637910564,121,0,0.0461946895509937,0.0745338891843796,4.188461118855572,2.592947964776547,1.5955131540790246,1.8256179748849433,32.51487646204882,14.11006076505328,3631.563,-8.666664129508561e-05,
B0005,4,1.8346455082120416,24,2008-04-03 08:33:25,91.73227541060209,120,0,0.04510114851143,0.0685283289600032,4.188298524761055,2.547419651124539,1.6408788736365159,1.82614786516938,32.38234901543077,14.146692138998514,3629.172,-0.0006170193700711923,
B0005,5,1.8356616600675493,24,2008-04-03 12:55:10,91.78308300337747,119,0,0.0459907447307683,0.0734266410877331,4.188815807948604,2.5209480504077413,1.6678677575408627,1.8168998532879652,32.43418218230641,14.237268397973942,3652.281,0.0010161518555076299,
B0005,6,1.8351461429226603,24,2008-04-03 17:17:16,91.75730714613302,118,0,0.0441720755771717,0.0680444951699617,4.18839163793879,2.487927319492314,1.700464318446476,1.8168378953364732,32.480416444757985,14.245119993219092,3650.828,-0.0005155171448889551,
B0005,7,1.8257567905665535,24,2008-04-03 21:28:14,91.28783952832768,117,0,0.0452171085992494,0.0746477840841336,4.188927891511958,2.665204904745877,1.523722986766081,1.8444082717328028,32.41046186109587,13.805805943387323,3572.453,-0.009389352356106828,
B0005,8,1.8247738529891333,24,2008-04-04 01:38:15,91.23869264945667,116,0,0.0437866281960759,0.0684502122707276,4.189029250882121,2.603858472633368,1.5851707782487532,1.854064004450843,32.3461408313,13.897780610605821,3550.594,-0.0009829375774201843,
B0005,9,1.824613268496936,24,2008-04-04 05:48:08,91.2306634248468,115,0,0.0449099454136579,0.0739568760325419,4.189223427076418,2.552853984885676,1.636369442190742,1.853658588102974,32.27679750791685,13.965420944638673,3551.25,-0.00016058449219724658,
B0005,10,1.8246195526864504,24,2008-04-04 09:57:19,91.23097763432251,114,0,0.0446393219887852,0.0683410113732366,4.188916055911241,2.472448301852732,1.7164677540585087,1.8634237189304172,32.15709350345252,14.110148970552022,3530.25,6.284189514316196e-06,
B0005,11,1.814201935767392,24,2008-04-04 17:56:27,90.7100967883696,113,0,0.0471704408693174,0.072081121644792,4.189876247266316,2.64956413267546,1.5403121145908556,1.8730031464912946,32.36407129853099,13.781602636785863,3491.016,-0.010417616919058403,
B0005,12,1.8137521577549052,24,2008-04-04 22:01:54,90.68760788774526,112,0,0.0435587857754753,0.0686823765587221,4.189286794768804,2.5724981777366227,1.616788617032181,1.882660242467496,32.3181954403762,13.849378134746338,3470.281,-0.00044977801248680116,
B0005,13,1.8134404914735824,24,2008-04-05 02:20:26,90.67202457367912,111,0,0.0464896970863564,0.0710290933933924,4.188837765892728,2.5249886697730286,1.6638490961196997,1.8825977111170091,32.15709029211502,14.072310729819861,3470.0,-0.0003116662813227311,
B0005,14,1.8025980036306504,24,2008-04-05 06:25:01,90.12990018153252,110,0,0.0452654781826178,0.0681437253042456,4.189110301768517,2.694621861688723,1.494488440079794,1.8818235264274379,32.044070003146096,13.750488808526889,3450.297,-0.01084248784293207,
B0005,15,1.80210690024615,24,2008-04-05 10:30:32,90.10534501230751,109,0,0.0463622366817154,0.0719302986054303,4.18921207304098,2.64010141737067,1.5491106556703098,1.892259778387913,31.931593674911532,13.87785047819424,3429.407,-0.0004911033845003132,
B0005,16,1.802579500826209,24,2008-04-05 14:34:41,90.12897504131045,108,0,0.0444837157774346,0.0678255571971684,4.188899969428112,2.573903509838096,1.6149964595900164,1.9027782137498737,31.941655359029298,13.961947457918967,3409.484,0.00047260058005904604,
B0005,17,1.8030683142834096,24,2008-04-05 18:39:25,90.15341571417048,107,0,0.0448279130020564,0.072888269527583,4.188779799856791,2.4942396831720126,1.6945401166847782,1.9133470605822436,31.965008645476725,14.096334329174777,3390.422,0.000488813457200532,
B0005,18,1.802777624719604,24,2008-04-05 22:46:35,90.1388812359802,106,0,0.0444141648591004,0.0688580524121343,4.189272591516219,2.4556793246645583,1.7335932668516607,1.9132081421080984,31.966241678512723,14.191559758278753,3390.281,-0.00029068956380573496,
B0005,19,1.8470259949329195,24,2008-04-18 21:10:19,92.35129974664598,105,0,0.0446645067989457,0.0727868237536811,4.187614060563439,2.632142800798914,1.5554712597645248,1.8554552597994574,32.37143341978575,13.89807407496474,3591.734,0.044248370213315624,
B0005,20,1.847417311283644,24,2008-04-19 02:29:09,92.3708655641822,104,0,0.0445354459002964,0.0677943469911627,4.187628781108399,2.5027764692056795,1.68485231190272,1.8747434663359825,32.70024990461686,14.074772098353122,3552.297,0.0003913163507245354,
